id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
352,Arrawarra Headland,,NSW,New South Wales,2456,Urban locality,-30.05977,153.20274,13,557,29432,2.68,Coffs Harbour (City),Coffs Harbour - Grafton,Australia/Sydney
353,Arriga,,QLD,Queensland,4880,Rural locality,-17.10991,145.30199,501,1079,40248,155.72,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
354,Arrino,,WA,Western Australia,6519,Rural locality,-29.44006,115.62837,267,50,22100,398.726,Three Springs (Shire),Western Australia - Outback (South),Australia/Perth
355,Arrowsmith,,WA,Western Australia,6525,Rural locality,-29.54356,115.06993,32,12,37648,820.67,Irwin (Shire),Western Australia - Outback (South),Australia/Perth
356,Arrowsmith East,,WA,Western Australia,6519,Rural locality,-29.6146,115.34013,196,43,60112,812.011,Three Springs (Shire),Western Australia - Outback (South),Australia/Perth
357,Artarmon,Sydney,NSW,New South Wales,2064,Suburb,-33.80943,151.18566,86,9523,53456,2.535,Willoughby (City),Sydney - North Sydney and Hornsby,Australia/Sydney
358,Arthur River,,TAS,Tasmania,7330,Rural locality,-41.05955,144.68187,39,57,22100,38.591,Circular Head (Municipality),West and North West,Australia/Hobart
359,Arthur River,,WA,Western Australia,6315,Rural locality,-33.33805,117.03417,290,112,28912,477.256,West Arthur (Shire),Western Australia - Wheat Belt,Australia/Perth
360,Arthurs Creek,,VIC,Victoria,3099,Rural locality,-37.5877,145.21816,132,496,37336,39.175,Nillumbik (Shire),Melbourne - North East,Australia/Melbourne
361,Arthurs Lake,,TAS,Tasmania,7030,Rural locality,-42.00249,146.96593,958,18,14560,216.808,Central Highlands (Municipality),South East,Australia/Hobart
362,Arthurs Seat,,VIC,Victoria,3936,Urban locality,-38.35443,144.94979,308,394,38376,8.815,Mornington Peninsula (Shire),Mornington Peninsula,Australia/Melbourne
363,Arthurton,,SA,South Australia,5572,Rural locality,-34.25753,137.7564,204,148,39312,145.011,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
364,Arthurville,,NSW,New South Wales,2820,Rural locality,-32.55484,148.74271,310,36,45032,72.54,Dubbo Regional (Area),Far West and Orana,Australia/Sydney
365,Arumbera,,NT,Northern Territory,873,Rural locality,-23.78482,133.81467,558,268,13416,70.088,Alice Springs (Town),Northern Territory - Outback,Australia/Darwin
366,Arumpo,,NSW,New South Wales,2715,Rural locality,-33.87362,142.88526,77,34,34580,5396.408,Wentworth (Area),Murray,Australia/Sydney
367,Arundel,Gold Coast,QLD,Queensland,4214,Suburb,-27.93971,153.37278,14,10246,31980,10.383,Gold Coast (City),Gold Coast,Australia/Brisbane
368,Ascot,Brisbane,QLD,Queensland,4007,Suburb,-27.43027,153.05868,35,5777,52936,2.736,Brisbane (City),Brisbane Inner City,Australia/Brisbane
369,Ascot,,QLD,Queensland,4360,Rural locality,-27.8254,151.99673,466,31,37700,33.484,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
370,Ascot,,VIC,Victoria,3364,Rural locality,-37.40088,143.80251,416,96,27768,36.429,Ballarat (City),Ballarat,Australia/Melbourne
371,Ascot,Bendigo,VIC,Victoria,3551,Suburb,-36.71225,144.33338,198,1968,35464,10.552,Greater Bendigo (City),Bendigo,Australia/Melbourne
372,Ascot,Perth,WA,Western Australia,6104,Suburb,-31.94068,115.923,4,2572,46176,3.761,Belmont (City),Perth - South East,Australia/Perth
373,Ascot Park,Adelaide,SA,South Australia,5043,Suburb,-34.98693,138.56464,26,3293,32084,1.004,Marion (City),Adelaide - South,Australia/Adelaide
374,Ascot Vale,Melbourne,VIC,Victoria,3032,Suburb,-37.77583,144.92338,38,14750,42848,3.836,Moonee Valley (City),Melbourne - Inner,Australia/Melbourne
375,Ashbourne,,SA,South Australia,5157,Rural locality,-35.28283,138.77018,154,281,34424,58.456,Alexandrina (District Council),South Australia - South East,Australia/Adelaide
376,Ashbourne,,VIC,Victoria,3442,Rural locality,-37.40543,144.45857,648,196,47736,37.843,Macedon Ranges (Shire),Bendigo,Australia/Melbourne
377,Ashburton,Melbourne,VIC,Victoria,3147,Suburb,-37.86339,145.07942,60,7751,42536,2.923,Boroondara (City),Melbourne - Inner East,Australia/Melbourne
378,Ashbury,Sydney,NSW,New South Wales,2193,Suburb,-33.9019,151.11932,20,3329,38636,1.031,Canterbury-Bankstown (Area),Sydney - Inner West,Australia/Sydney
379,Ashby,,NSW,New South Wales,2463,Rural locality,-29.42393,153.18745,25,326,25480,14.03,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
380,Ashby,Perth,WA,Western Australia,6065,Suburb,-31.73421,115.79245,39,2665,35932,1.403,Wanneroo (City),Perth - North West,Australia/Perth
381,Ashby Heights,,NSW,New South Wales,2463,Rural locality,-29.41374,153.17939,122,232,22568,32.349,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
382,Ashby Island,,NSW,New South Wales,2463,Rural locality,-29.43097,153.20263,1,16,35048,2.41,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
383,Ashcroft,Sydney,NSW,New South Wales,2168,Suburb,-33.91759,150.8991,17,3585,21060,1.154,Liverpool (City),Sydney - South West,Australia/Sydney
384,Ashendon,,WA,Western Australia,6111,Rural locality,-32.23124,116.14054,349,15,49348,210.525,Armadale (City),Perth - South East,Australia/Perth
385,Ashfield,Sydney,NSW,New South Wales,2131,Suburb,-33.88953,151.12586,47,23841,35412,3.414,Inner West (Area),Sydney - Inner West,Australia/Sydney
386,Ashfield,Bundaberg,QLD,Queensland,4670,Suburb,-24.87276,152.39614,26,793,39780,4.884,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
387,Ashfield,Perth,WA,Western Australia,6054,Suburb,-31.9152,115.93764,23,1317,31876,0.802,Bassendean (Town),Perth - North East,Australia/Perth
388,Ashford,,NSW,New South Wales,2361,Urban locality,-29.32125,151.09608,430,652,22152,681.047,Inverell (Area),New England and North West,Australia/Sydney
389,Ashford,Adelaide,SA,South Australia,5035,Suburb,-34.94871,138.57395,31,959,35256,0.329,West Torrens (City),Adelaide - West,Australia/Adelaide
390,Ashgrove,Brisbane,QLD,Queensland,4060,Suburb,-27.4456,152.99212,38,13039,50024,5.826,Brisbane (City),Brisbane Inner City,Australia/Brisbane
391,Ashley,,NSW,New South Wales,2400,Urban locality,-29.31777,149.80806,204,365,40040,332.767,Moree Plains (Area),New England and North West,Australia/Sydney
392,Ashmont,Wagga Wagga,NSW,New South Wales,2650,Suburb,-35.12318,147.32996,190,3828,26260,2.429,Wagga Wagga (City),Riverina,Australia/Sydney
393,Ashmore,Gold Coast,QLD,Queensland,4214,Suburb,-27.98638,153.38205,27,11910,32968,6.831,Gold Coast (City),Gold Coast,Australia/Brisbane
394,Ashton,,SA,South Australia,5137,Rural locality,-34.93973,138.73739,546,511,40612,6.743,Adelaide Hills (District Council),Adelaide - Central and Hills,Australia/Adelaide
395,Ashtonfield,Maitland,NSW,New South Wales,2323,Suburb,-32.77382,151.601,43,4645,39936,6.834,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
396,Ashville,,SA,South Australia,5259,Rural locality,-35.51045,139.36576,7,34,25428,113.228,The Coorong (District Council),South Australia - South East,Australia/Adelaide
397,Ashwell,,QLD,Queensland,4340,Rural locality,-27.62846,152.5601,73,85,24128,7.534,Ipswich (City),Ipswich,Australia/Brisbane
398,Ashwood,Melbourne,VIC,Victoria,3147,Suburb,-37.86469,145.09306,76,6886,33800,2.545,Monash (City),Melbourne - South East,Australia/Melbourne
399,Aspendale,Melbourne,VIC,Victoria,3195,Suburb,-38.02648,145.10191,10,6940,41184,3.029,Kingston (City),Melbourne - Inner South,Australia/Melbourne
400,Aspendale Gardens,Melbourne,VIC,Victoria,3195,Suburb,-38.02346,145.11837,5,6530,34788,3.24,Kingston (City),Melbourne - Inner South,Australia/Melbourne
401,Aspley,Brisbane,QLD,Queensland,4034,Suburb,-27.36386,153.01574,25,12108,37908,6.3,Brisbane (City),Brisbane - North,Australia/Brisbane
402,Asquith,Sydney,NSW,New South Wales,2077,Suburb,-33.68748,151.10869,186,3376,40924,3.502,Hornsby (Area),Sydney - North Sydney and Hornsby,Australia/Sydney
403,Athelstone,Adelaide,SA,South Australia,5076,Suburb,-34.8698,138.70285,121,9152,35256,6.204,Campbelltown (City),Adelaide - Central and Hills,Australia/Adelaide
404,Atherton,,QLD,Queensland,4883,Urban locality,-17.26827,145.47457,766,7331,27456,94.046,Tablelands (Regional Council),Cairns,Australia/Brisbane
405,Athlone,,VIC,Victoria,3818,Rural locality,-38.2399,145.77982,79,122,25636,30.36,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
406,Athol,,QLD,Queensland,4350,Rural locality,-27.61535,151.77485,517,134,37128,26.746,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
407,Athol Park,Adelaide,SA,South Australia,5012,Suburb,-34.85768,138.54263,9,2084,24960,0.943,Charles Sturt (City),Adelaide - West,Australia/Adelaide
408,Atholwood,,NSW,New South Wales,2361,Rural locality,-28.99964,151.05801,420,79,18200,454.456,Inverell (Area),New England and North West,Australia/Sydney
409,Atitjere,,NT,Northern Territory,872,Urban locality,-22.98305,134.93172,571,224,21008,7.014,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
410,Atkinsons Dam,,QLD,Queensland,4311,Rural locality,-27.42101,152.45551,63,205,23296,26.689,Somerset (Regional Council),Ipswich,Australia/Brisbane
411,Attadale,Perth,WA,Western Australia,6156,Suburb,-32.02581,115.80135,18,6335,47840,3.102,Melville (City),Perth - South West,Australia/Perth
412,Attunga,,NSW,New South Wales,2345,Rural locality,-30.8948,150.82465,469,571,33228,218.721,Tamworth Regional (Area),New England and North West,Australia/Sydney
413,Attwood,Melbourne,VIC,Victoria,3049,Suburb,-37.66752,144.88529,120,3419,36296,5.059,Hume (City),Melbourne - North West,Australia/Melbourne
414,Atwell,Perth,WA,Western Australia,6164,Suburb,-32.1328,115.86059,26,9063,43108,3.541,Cockburn (City),Perth - South West,Australia/Perth
415,Aubigny,,QLD,Queensland,4401,Rural locality,-27.52223,151.64174,418,254,35932,57.54,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
416,Aubin Grove,Perth,WA,Western Australia,6164,Suburb,-32.16841,115.86112,27,6324,48724,2.473,Cockburn (City),Perth - South West,Australia/Perth
417,Aubrey,,VIC,Victoria,3393,Rural locality,-36.2411,142.23414,118,10,31148,61.609,Yarriambiack (Shire),North West,Australia/Melbourne
418,Auburn,Sydney,NSW,New South Wales,2144,Suburb,-33.84932,151.03342,24,37366,22568,8.564,Cumberland (Area),Sydney - Parramatta,Australia/Sydney
419,Auburn,,QLD,Queensland,4413,Rural locality,-25.9999,150.50818,308,26,48516,1156.866,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
420,Auburn,,SA,South Australia,5451,Urban locality,-34.028,138.68164,319,661,31564,119.853,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
421,Auburn Vale,,NSW,New South Wales,2360,Rural locality,-29.83895,151.04172,637,123,39832,63.647,Inverell (Area),New England and North West,Australia/Sydney
422,Auchenflower,Brisbane,QLD,Queensland,4066,Suburb,-27.47553,152.99342,16,5870,49504,1.379,Brisbane (City),Brisbane Inner City,Australia/Brisbane
423,Auchmore,,VIC,Victoria,3570,Rural locality,-36.47236,144.09569,120,13,43316,74.533,Loddon (Shire),Bendigo,Australia/Melbourne
424,Augathella,,QLD,Queensland,4477,Urban locality,-25.79469,146.58661,372,449,26884,1459.05,Murweh (Shire),Queensland - Outback,Australia/Brisbane
425,Augusta,,WA,Western Australia,6290,Urban locality,-34.31594,115.15973,35,1382,25272,29.944,Augusta-Margaret River (Shire),Bunbury,Australia/Perth
426,Augustine Heights,Brisbane,QLD,Queensland,4300,Suburb,-27.66915,152.89354,87,4880,52208,5.624,Ipswich (City),Ipswich,Australia/Brisbane
427,Auldana,Adelaide,SA,South Australia,5072,Suburb,-34.91972,138.6844,199,625,38480,0.609,Burnside (City),Adelaide - Central and Hills,Australia/Adelaide
428,Aurukun,,QLD,Queensland,4892,Rural locality,-13.60938,141.82845,51,1269,13520,7423.989,Aurukun (Shire),Queensland - Outback,Australia/Brisbane
429,Austinmer,Wollongong,NSW,New South Wales,2515,Suburb,-34.30628,150.93456,8,2560,45760,3.338,Wollongong (City),Illawarra,Australia/Sydney
430,Austins Ferry,Hobart,TAS,Tasmania,7011,Suburb,-42.77503,147.24882,42,2251,33436,2.135,Glenorchy (City),Hobart,Australia/Hobart
431,Austinville,,QLD,Queensland,4213,Rural locality,-28.13582,153.31749,104,356,31980,22.404,Gold Coast (City),Gold Coast,Australia/Brisbane
432,Austral,Sydney,NSW,New South Wales,2179,Suburb,-33.93311,150.81203,85,3024,26884,17.661,Liverpool (City),Sydney - South West,Australia/Sydney
433,Austral Eden,,NSW,New South Wales,2440,Rural locality,-31.02195,152.9378,4,148,30888,13.619,Kempsey (Area),Mid North Coast,Australia/Sydney
434,Australia Plains,,SA,South Australia,5374,Rural locality,-34.0938,139.16909,272,26,24128,91.369,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
435,Australind,Bunbury,WA,Western Australia,6233,Suburb,-33.27903,115.71443,7,14539,35932,23.062,Harvey (Shire),Bunbury,Australia/Perth
436,Avalon,,VIC,Victoria,3212,Rural locality,-38.05097,144.45169,10,293,21164,45.165,Greater Geelong (City),Geelong,Australia/Melbourne
437,Avalon Beach,Sydney,NSW,New South Wales,2107,Suburb,-33.63633,151.3306,10,9905,43628,5.131,Northern Beaches (Area),Sydney - Northern Beaches,Australia/Sydney
438,Aveley,Perth,WA,Western Australia,6069,Suburb,-31.78131,115.98923,29,10173,47164,6.102,Swan (City),Perth - North East,Australia/Perth
439,Avenel,,VIC,Victoria,3664,Urban locality,-36.89279,145.23059,150,1048,30940,204.91,Strathbogie (Shire),Hume,Australia/Melbourne
440,Avenell Heights,Bundaberg,QLD,Queensland,4670,Suburb,-24.89048,152.37388,27,4871,25844,3.052,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
441,Avenue Range,,SA,South Australia,5273,Rural locality,-36.9018,140.23,23,111,37232,316.594,Naracoorte and Lucindale (District Council),South Australia - South East,Australia/Adelaide
442,Avisford,,NSW,New South Wales,2850,Rural locality,-32.74558,149.48011,541,26,24648,18.303,Mid-Western Regional (Area),Central West,Australia/Sydney
443,Avoca,,NSW,New South Wales,2577,Rural locality,-34.61352,150.47932,756,199,35620,24.625,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
444,Avoca,Bundaberg,QLD,Queensland,4670,Suburb,-24.88185,152.31255,24,4904,27352,6.121,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
445,Avoca,,TAS,Tasmania,7213,Rural locality,-41.78215,147.72044,209,216,19396,393.799,Northern Midlands (Municipality),Launceston and North East,Australia/Hobart
446,Avoca,,VIC,Victoria,3467,Urban locality,-37.08854,143.4738,242,1193,23660,102.809,Pyrenees (Shire),Ballarat,Australia/Melbourne
447,Avoca Beach,Central Coast,NSW,New South Wales,2251,Suburb,-33.46494,151.43239,10,4584,39728,4.442,Central Coast (City),Central Coast,Australia/Sydney
448,Avoca Dell,,SA,South Australia,5253,Rural locality,-35.08855,139.30897,6,143,34372,0.72,Murray Bridge (Rural City),South Australia - South East,Australia/Adelaide
449,Avoca Vale,,QLD,Queensland,4314,Rural locality,-26.75581,152.23556,151,34,19188,205.303,Somerset (Regional Council),Moreton Bay - North,Australia/Brisbane
450,Avon,,NSW,New South Wales,2574,Rural locality,-34.35207,150.63475,370,0,0,265.82,Wingecarribee (Area),Illawarra,Australia/Sydney
451,Avon,,SA,South Australia,5501,Rural locality,-34.28116,138.33875,33,64,27560,50.4,Wakefield (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
452,Avondale,,NSW,New South Wales,2530,Rural locality,-34.51418,150.73377,54,1653,30056,18.313,Wollongong (City),Illawarra,Australia/Sydney
453,Avondale,,QLD,Queensland,4670,Rural locality,-24.74144,152.16123,27,643,24648,70.039,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
454,Avondale Heights,Melbourne,VIC,Victoria,3034,Suburb,-37.76946,144.86509,40,11633,27352,5.409,Moonee Valley (City),Melbourne - North West,Australia/Melbourne
455,Avonmore,,VIC,Victoria,3559,Rural locality,-36.52988,144.60446,134,43,27924,70.564,Greater Bendigo (City),Bendigo,Australia/Melbourne
456,Avon Plains,,VIC,Victoria,3477,Rural locality,-36.53999,142.89554,141,7,38948,62.305,Northern Grampians (Shire),North West,Australia/Melbourne
457,Avonside,,NSW,New South Wales,2628,Rural locality,-36.36398,148.72882,1086,118,44460,57.365,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
458,Avonsleigh,Melbourne,VIC,Victoria,3782,Suburb,-37.9207,145.46725,278,852,36712,7.562,Cardinia (Shire),Melbourne - South East,Australia/Melbourne
459,Avon Valley National Park,,WA,Western Australia,6084,Rural locality,-31.64627,116.20684,318,6,44200,74.961,Swan (City),Perth - North East,Australia/Perth
460,Awaba,,NSW,New South Wales,2283,Urban locality,-33.00774,151.54341,59,402,31512,23.119,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
461,Axe Creek,,VIC,Victoria,3551,Rural locality,-36.84893,144.41948,248,352,33072,42.366,Greater Bendigo (City),Bendigo,Australia/Melbourne
462,Axedale,,VIC,Victoria,3551,Urban locality,-36.78792,144.50413,174,802,34268,113.614,Greater Bendigo (City),Bendigo,Australia/Melbourne
463,Aylmerton,Bowral - Mittagong,NSW,New South Wales,2575,Suburb,-34.41907,150.49274,599,194,34008,2.796,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
464,Ayr,,QLD,Queensland,4807,Urban locality,-19.57605,147.40517,16,8738,31356,28.473,Burdekin (Shire),Townsville,Australia/Brisbane
465,Ayrford,,VIC,Victoria,3268,Rural locality,-38.41566,142.85945,97,44,44876,12.9,Moyne (Shire),Warrnambool and South West,Australia/Melbourne
